,id,n_pulses,n_emitters,n_types,min_ToA,min_Frequency,min_PulseWidth,min_AoA,min_Amplitude,max_ToA,max_Frequency,max_PulseWidth,max_AoA,max_Amplitude,mean_ToA,mean_Frequency,mean_PulseWidth,mean_AoA,mean_Amplitude,std_ToA,std_Frequency,std_PulseWidth,std_AoA,std_Amplitude
10,config_10,48682,44,36,257688.51054513635,4.736747647098715,0.0342923663519338,-165.7233300970873,-166.52238248137283,29281793.168340072,11957.572655066697,349.8986491077561,171.42287740723634,4.288541175004902,14437868.76484268,7004.14426271415,26.891314254782017,-57.97104163123481,-86.22632062018127,7338793.60213813,3600.2245063519217,82.93772339446039,72.07456404479176,28.51255375110084
11,config_11,83803,34,32,303109.2515605512,448.8775360050943,0.0421342355856317,-179.83772678499912,-161.77639730588436,28785396.431447174,11407.246187601197,217.01646591347637,179.99284532697516,-22.810389588511736,14377384.4550626,4791.009041170897,11.205326116288749,41.127078047996086,-92.17516257788888,5400891.821823909,3143.8972694206873,28.82240864103534,75.34345285622966,14.144975840322326
12,config_12,905,5,5,1166080.5645343198,1219.667186381029,0.1842642297844595,-131.32222379865593,-179.497586067407,29294799.38477883,11946.081017019786,5.106334145720319,172.268988160234,-36.180484072871735,13531282.46966043,4636.9117218160745,2.0112117595652275,95.38617814706662,-76.04038867945967,6299855.035428807,3913.791023629646,1.8518780768668317,48.86877299516786,32.04454670973651
13,config_13,160563,53,45,378738.02769442607,402.0196590186816,0.0374221186191154,-179.17708978130707,-163.96390167774956,29477869.395370696,11818.88978276713,111.38156592380462,175.80078118778536,-28.965912200951983,15691156.624827748,5505.708894707075,7.487590337084278,20.57908452034122,-88.82002667304505,7428712.704710351,2519.5370231128713,21.987399339627355,81.10236870559292,15.462693435500997
14,config_14,143657,51,42,305873.69641683827,23.70008153918562,0.1624488957539673,-179.93702338275412,-177.18343228457465,28998342.027382467,9989.945963277834,355.2439531579415,179.98874286013142,-10.435891847200244,15802735.289975615,3068.962096165137,15.252721641275382,24.758228691384616,-85.93438656207327,5912748.16306469,1803.7292696530576,52.86145534827663,66.18009649171587,18.17997452283686
15,config_15,14970,10,11,184958.37992629895,22.319173920283056,0.1618732594440425,-121.750790557357,-143.37362808611812,28210371.818925895,9402.579725645604,345.45330524268803,169.48019413040905,-15.011501727818764,7649594.033140838,2244.3767709711256,4.892102451427868,49.536819351468104,-85.67957325575647,3932061.117239589,999.194143602619,35.30105015775982,30.60411191121647,11.962744886101513
16,config_16,5518,10,12,263352.12928408524,5.078137432556343,0.4729056482381015,-150.3982318429216,-134.55675635968544,28549513.675504524,5604.655274835865,340.06578469438125,177.7568975602266,14.4104381619562,19257943.813698605,2462.387177316753,22.468216293410833,71.59463880667113,-84.67165622557047,7351693.283080262,1077.9937386771342,57.20705569569567,84.39373067055993,25.008310278761822
17,config_17,147424,67,46,117458.21690887352,20.334116229279832,0.0069178422819714,-179.99336993187887,-186.65083222647425,29298524.285768904,11402.783244650444,349.3632826285771,179.99757773366736,-1.0036968426331208,14973999.095587494,3591.032101260668,8.623443046954351,11.45572166325004,-86.03775111453005,6504278.999726012,2806.987166210017,40.169362727885265,86.26893990549392,16.529841789771357
18,config_18,57283,36,35,1000072.9822948552,18.496815191754795,0.0310636582039754,-179.98269107427694,-170.88556839565706,29298925.278800298,10011.492089881584,349.21074488522294,179.93846965090316,18.08075191742538,13916831.92324045,4421.641353578392,17.087287844828953,27.836992863560692,-88.64722297501638,7522769.581452799,2428.415481337833,42.380715381841206,81.19738166695888,20.381604135598785
19,config_19,51851,49,43,223073.66107990185,150.1279346972921,0.0247273876591153,-179.97367685339466,-167.2114004493348,28728248.06733404,11406.049699314342,105.26975282106652,179.87623915747574,-15.667751972207746,15928483.779865364,3530.723563048449,2.6909227492544447,-32.617751322101796,-90.62290401451848,7785800.199161217,2900.863004470432,10.05230063379846,82.70985780912783,19.54598636545898
20,config_20,97881,38,31,364887.2022812789,149.73347307802536,0.0085653356849204,-179.9999175320222,-166.4496757370082,29185914.830622356,11835.996071927291,106.90009118172158,179.99885416569597,-28.636391966903705,13406600.221153174,3170.2730576851204,16.412084024230897,-15.598865606256023,-83.61209167510474,6778763.698865271,2172.7826974553286,23.570267753491247,91.94781450214698,14.695523378190495
21,config_21,105627,57,44,301697.1018858336,149.50418263786187,0.028208455441963,-179.85490766673428,-166.6267971761409,29222872.302273557,11402.444724112518,216.1232156124916,179.9884645496392,-31.886701578014232,12760861.73181959,3555.1535090740413,13.15293012273418,42.354501412165185,-82.06715037921643,7458008.885244868,2901.721682931995,17.702444251557083,107.7761736710029,17.68017787591708
22,config_22,160300,37,34,350010.42581078125,12.918414037634996,0.0069033498978347,-168.86931646023163,-161.35574036496982,29345435.7696783,11936.75575822792,343.39770213640975,176.05252140043865,-8.417807147368208,14854216.928985212,3675.032073233441,16.245537796324523,16.120353803259366,-82.84943791046942,7923812.153878181,2249.308214785307,38.99593507072609,105.5495640658691,18.378856683162503
23,config_23,28471,12,15,751230.0388839961,24.519195485531014,0.382331597938054,-160.33567372065832,-166.60959930068668,28726434.29007188,9595.263033318792,347.9948357706144,106.01938619042636,-7.719289124961401,14298580.29136659,1666.7564090685617,38.47967806513425,-0.1465596306936581,-70.47792752671356,6730279.064416759,1690.474540030183,58.17672941265532,69.41080753745395,19.729998633954757
24,config_24,16393,7,10,956484.476937462,19.01015791976057,0.2272408210265862,-129.41155227515912,-152.19543195254067,29343503.432323653,10002.069222690585,346.02919431248904,107.2629829859376,-3.0816264085184266,15539666.253376031,6425.062867525503,45.73759645722319,52.269931037442845,-83.03303700451087,7110178.405963511,3664.404413817684,107.22607930679372,76.37946420231727,31.610842983753013
25,config_25,22488,19,19,1054362.1121873767,389.56679662581945,0.0337412404416991,-170.6496436203082,-161.50817002780562,29135355.81063884,10006.430699069082,107.29461265200445,174.44566817143112,-45.47904886371531,13115897.093130529,6995.855003412349,3.249057800663134,-43.13456213878632,-95.35234504630913,7674072.401164469,3415.8245051305125,13.794470343568692,68.15808678273797,15.238532248920054
26,config_26,55275,44,43,461511.3282393543,10.762292847076909,0.0069056858886125,-170.68281350800248,-181.6954710616575,28748653.53344571,16063.483305210442,350.9760088412624,173.26372647743494,-0.953751283181722,13989474.552225402,4745.522734145928,14.174362662316549,-38.981239329862255,-90.02564758349517,6690998.872338599,3335.820429027706,57.29388288010122,95.32729024329385,20.670885889731515
27,config_27,144366,71,51,71998.69033619434,13.660281348574438,0.0480039899031284,-179.99971862684694,-169.94462830250862,29341469.752479,11404.342134008602,351.3637415816719,179.99966787214865,-2.719020009751068,12740321.113709033,4620.586172485224,12.05567108051092,7.164989548590911,-83.99511972387522,6634311.456544267,3236.58037047498,29.297944996484212,95.36918743989403,18.74974462295979
28,config_0,79340,15,15,89374.16714295954,149.67513634561564,0.0078785063717081,-172.17727152395557,-170.67213919125055,28310691.789667018,11999.115918786993,105.81960330493776,127.9597178554984,-40.11168889108367,11977198.047627084,6695.956860290794,9.061019485788488,26.80966380205216,-88.61196174195108,7707709.628408098,3392.2891282258834,19.49432492757717,74.3378603993792,13.77479406782963
29,config_1,55209,36,34,210682.9990279402,9.96087808228532,0.0069126419735218,-170.70506045945007,-175.63165607434598,29345977.795577355,16064.1462284158,350.13710948683297,147.97543291653966,-5.8916264648687395,14328804.374012232,6281.385058021649,21.023714900866832,49.03931309304119,-89.320142666971,6974117.583979991,3840.1068027465944,68.81581715971724,96.85600519350872,19.605540985348465
30,config_2,205352,76,51,203650.2763279584,5.90512502548976,0.0069561264338176,-179.99321907030318,-170.18976464805544,29297861.633372623,11408.773375033794,353.45938067753553,179.99926659347574,2.7668432709207877,13460926.760646608,4118.913382922704,16.938192122965763,54.19725532311172,-85.46808526713808,6424332.658854769,3177.6082859596777,45.720098268773754,79.79770000653949,18.097311606527484
31,config_3,204678,62,51,350701.7165388236,21.84237207558168,0.0069040101465946,-179.99521333440168,-173.14141069057487,29349500.15709211,16068.874043754866,348.6104797311636,179.99585603850795,-4.156686305751181,13080719.302429548,5699.102914845271,15.68928234636813,61.29685545687002,-84.93021790448371,6832316.05431881,3608.702371035222,41.05359878782644,94.87248693301652,20.027363852133355
32,config_4,27165,36,37,561843.0516008954,14.98517848398501,0.0410053099589414,-178.1711520905004,-148.43151718038,28713948.045125477,9612.34278898503,348.47531481493684,176.84771680878706,-9.929794978583702,14631540.923541063,2264.0052469689113,10.856344817480036,-9.99428850703642,-91.52758610757544,5567237.568345917,1366.2496730711332,52.397435459576826,63.23482848004579,18.490706978472517
33,config_5,37915,4,6,1092683.8910886815,387.8636221703297,0.2451937872190809,-176.2041786437255,-146.06938546469854,27149893.872291885,9402.763059874553,106.39371971941652,38.207629968476134,-43.4976885389334,13211727.076914316,5207.472436493273,7.792586801857629,-51.72647326172389,-85.15774699799957,6260052.355333742,2260.3534960312054,23.59452014648346,63.933516971459184,15.32172581400227
34,config_6,172280,62,45,200379.7588450763,337.06085854043107,0.0283906190299047,-178.18058132168963,-158.48017966640631,29347057.66794701,10015.665286224335,215.07203194135192,179.67613300355416,-19.744530714354408,13232518.767186629,5576.440283400183,1.3117107145272249,10.952830333671663,-90.83793810196406,7352998.343449066,3028.502353882093,7.622343545192372,99.89188162414617,12.39669093147818
35,config_7,127401,39,33,350163.34499213006,149.95155396744022,0.008271691688754,-179.69283319082825,-169.97659328493882,28734418.884834506,11998.68144577323,53.37930649177304,178.78046723839262,-19.673043196805583,12046889.800421264,5917.640207212931,9.3291520913549,44.342075855580006,-84.72258230513278,8170876.634083008,3343.0312904987786,16.309601252315826,60.226675943372854,16.308585817431855
36,config_8,38080,15,19,65681.74533526385,9.470247682892802,0.0069260580371791,-179.05748936902927,-192.09346598861055,29323915.983680394,11979.631344035426,349.2527441162275,179.76369015926318,14.180465135465328,11641375.786178662,3491.978986774186,43.70754910427812,-1.6043239914040528,-72.88466553768812,6558700.407668641,3613.477710126812,75.55384667631655,86.97370073072909,27.680876080151936
37,config_9,14199,15,19,1150497.9297485687,425.9601378623131,0.0463502178384528,-133.6230393962553,-160.29046900246485,29496846.151482277,11978.823806911005,213.87358141343964,151.5548415625394,-34.12118410075626,10997799.69256794,5380.060803379635,3.1691579965146786,19.334431058615657,-88.16503801636117,6518746.267266033,3890.266598374166,14.732703749818851,95.09013095237376,18.649416146315954
38,config_10,25943,43,36,9725.868514789085,4.857349251798133,0.0280626539349719,-163.8984244954202,-176.46686588685023,28704080.34366921,11812.507101042624,354.7858371388003,170.02861481882042,3.938177928023226,15907780.981856763,4543.121792022715,65.86712313427874,-13.256294046978848,-75.23274058347157,6340463.314777781,3991.814011518883,120.55066284744449,87.57245455821943,37.12133331443902
39,config_11,103574,35,32,416929.43027970585,448.97499640537353,0.0392864960071631,-179.9999459479861,-155.0585580836567,28723026.65112905,11402.515347617851,210.81063973787468,179.9969921347247,-22.71392255911993,12515733.775327336,5445.247479270674,12.58697601197975,34.01401750786666,-93.00765537034712,6543542.526161485,3213.711431778978,30.03440375119006,88.14143913484193,13.91480267313586
40,config_12,1031,4,5,655348.9284192359,1219.5827816261583,0.2988148425199957,-126.39156247368464,-147.7994039478731,26099836.86425696,9501.147063294962,5.119643325811065,172.1457345117067,-24.118412912391307,16782978.6999112,3385.2432227079803,2.0223676571740556,143.0303467340478,-70.1857910983583,7411419.704503794,2074.941751401381,1.7292520156039202,33.27346913469292,30.798508313481957
41,config_13,149474,55,45,201008.2797345468,428.63341987975576,0.0355790189211627,-179.9162017888975,-153.45745551162415,29299770.90025197,11900.21831595809,107.832364123615,179.97877238949667,-30.16124612020185,14912831.656113448,6565.065101424379,4.949801529890072,70.20691356678459,-89.819120437308,6751777.140948549,2800.7452466934988,16.472995234456718,83.08907988043697,13.539226448036596
42,config_14,140529,47,42,350014.30202697613,23.61397316964355,0.0718475384043061,-179.9219654569349,-166.15223530486162,29268774.176387314,9518.705327962603,357.3491881743068,179.95554564964277,-6.53314884697275,15901646.255407136,2888.9677499254167,16.254457213657716,28.128415236674776,-85.54158473642761,7221878.1026849,1449.2047980842715,54.192115470025655,59.796288671626606,17.27625635502997
43,config_15,83566,10,11,2400075.676734222,22.294228248448448,0.1596058276963017,-120.95307668136516,-154.48541845821487,29204057.941334844,9403.30255161981,362.51294424605095,168.74830613562756,-7.838658398665517,16942853.60638121,2324.9305703543832,6.315374273449247,83.10055125691372,-81.42960970684283,7590870.779899221,1323.2900683019172,41.426265532001175,49.78948135195261,12.366384419491371
44,config_16,7769,11,12,1291884.4857714488,4.98477925298769,0.2690309242837441,-179.9798728034912,-161.8384884112249,28249378.597072147,11977.690394959523,347.5303433343269,179.91411430969015,15.623372183592693,12058554.62646905,2734.3412239929125,60.25366868226245,111.69278260064011,-72.8661017593515,5671238.099817931,1618.0360870813663,105.55827498983707,64.56198214817194,37.64785491335902
45,config_17,184484,67,46,238151.7946077403,20.35677530221003,0.0070038085085709,-179.91975176667836,-189.60656377859888,29299348.484242126,11996.298420760131,356.89530763467934,179.99280966303834,-0.9802534178866398,15545184.233597178,3367.893342751306,5.796002014887625,29.376734422671472,-89.64788056431617,7306656.248836013,2323.357933539497,31.771325167694837,87.42204981481783,13.617144259137236
46,config_18,27044,35,35,200863.96920158385,18.352521968629407,0.0290389090164848,-179.86996467838063,-166.26322731017157,29320785.36875084,10019.609948211411,347.19403267713074,179.98680152115347,17.708211289103726,15152341.402376411,5087.909417497224,12.256975258307028,-18.885803723925925,-90.80481704503568,7322853.913127619,3129.176284223824,45.905480285046174,105.53969374036755,24.61678527811721
47,config_19,73958,51,43,350306.26417458546,149.49159713683736,0.0318785264902161,-179.9632622400168,-171.3150494980115,29215433.4098921,10026.56488791774,104.49120257129248,179.98478626623304,-34.58210271721794,16009664.936060429,4279.549276822291,5.18990974191613,-38.18209618815984,-88.58636007947004,7773085.666001909,3674.625813651896,11.939895202215476,65.79909958460219,18.26493428263227
48,config_20,111016,37,31,350519.3256514821,149.51976511690305,0.0455272162423409,-179.9955987734382,-149.42976420549363,29252673.89508001,10011.735773187856,106.7564404839635,179.99970810364633,-22.580819105314905,15842452.05177215,3370.411447257722,18.51801422796567,-10.15871155882501,-82.1915875791435,7139801.480924027,2296.671825036181,24.766452254329373,89.47001661420622,16.723772485260383
49,config_21,62604,53,44,233668.6659778868,149.69335054580287,0.0313562331067945,-179.99005086590412,-165.44066886739597,29099559.239211623,9998.177619685162,211.7257529956015,179.99732022254693,-31.013235715874533,13227025.621959798,3776.434027214392,14.213210875343458,52.9757700954729,-82.98393591720857,6693242.005426061,3224.6179347975544,18.870502585638704,97.696258738005,19.934851539231516
50,config_22,135929,38,34,1150089.880240657,12.912149296660996,0.065909165784153,-168.88357286430042,-164.23670172883007,29272902.278371885,11992.630228378965,346.9495920408853,174.98873270193235,-7.488629402386072,13921949.419480417,3682.3382988163903,17.16702706239308,24.23420034044196,-83.34092456933455,6537026.809515353,2529.793026245931,40.281199508899554,100.72423783704151,18.07091267775324
51,config_23,32696,13,15,2178850.5321054766,24.40010019732328,0.3801762061042645,-161.2440802473986,-155.0476894361622,28698192.51450056,9589.493921004385,359.7296591244314,106.32581704420916,-6.022447344384373,16177300.446594778,2232.938560242926,51.147821644565376,22.5285726866231,-73.2857391013277,7393761.415472322,1596.0953783896257,75.53076374241158,76.05995587378315,22.6707582382991
52,config_24,15062,5,10,968177.0023649996,19.119215982383995,0.2290543506892277,-128.39784677337974,-154.39787970110098,27953780.279573157,10000.247210764388,340.3409885812146,100.80332432578028,-3.4445980243501007,13820188.041890278,7708.538876776741,16.55915960223507,71.23215538050042,-94.4872486855265,6867117.461182119,2957.879586434321,67.55870492661894,49.06609849352977,24.598625421325057
53,config_25,24206,17,19,362424.783232175,389.9395080923244,0.0283340192530399,-174.3107419667166,-155.9501989591987,29346397.765249252,10001.332567420312,105.29653260911716,177.1146719549049,-40.38228434360293,14896960.30420182,5648.072218080427,1.0905055017338126,-45.361977013435194,-96.4190581575944,6366549.713029902,3415.1173489259963,5.958627239675061,77.33430637176156,13.299286733667874
54,config_26,72825,43,43,350043.94767907576,419.9147185660737,0.0069088110893939,-171.56601380512217,-182.6061583713504,29127212.670231547,16069.819492911514,214.41286081205217,167.0688118929256,-30.409074123714557,11614377.433029257,5192.289609402821,6.290201522053139,-13.964230706846132,-90.76209982077567,6844943.420383684,3266.414320816201,16.87119203235503,95.34815306721556,15.513041061178193
55,config_27,145101,74,51,310260.8666010703,13.586956352137692,0.0069071975951539,-179.99926745925248,-183.62131478070864,29311117.591857016,16056.434368292274,352.7469373273521,179.9997869925671,-2.869450003025969,13641093.909595776,4939.442889418201,16.759467893233474,23.1566654315088,-82.93016473484917,6815478.16591287,3490.357479503218,52.12529365096416,89.33912142017198,23.30013003814795
56,config_28,275214,79,53,93061.61016362542,300.2896316070329,0.033409089597934,-179.9073038279326,-177.6523931638179,29293881.334751338,10010.225935750916,212.13321252101875,179.9425379354199,-21.373977626866488,13895074.949723613,3390.7199693924404,2.5942088287062743,6.409898678438309,-90.30648265165256,7619272.800181137,1627.9545262652266,9.838103976561602,124.44633590028506,10.05993488884264
57,config_29,107989,35,32,104045.26615462443,8.384664865525501,0.0279939469242097,-179.99783538045722,-169.67810953564964,29190204.239550702,11405.401334436672,362.0187520130664,179.9999589706855,1.4992501688841462,14025917.149024565,4565.9530466539345,29.06550142959661,18.933021721303117,-82.53331656836978,5426240.523801907,2643.7228065492914,61.91608428156865,86.9802503730226,19.549353449727366
58,config_30,38141,9,11,417818.06733714207,1199.0578918511255,0.1648423072004919,-77.95997922242287,-149.67065475036233,28742690.88721625,11404.15105476056,2.1263638512594523,161.59477706278474,-49.011085454462304,14447388.292581664,2728.98718179425,0.2853260437838985,102.6910427350806,-91.2826937323132,7368587.372691818,559.649043293219,0.2938608541145607,25.048884043851185,6.230496715341689
59,config_31,55304,32,33,350267.80587086134,149.93802588621162,0.1870246651033283,-179.94963290326183,-180.93330317181912,28549917.29421692,11403.988409064928,106.00547836302432,179.89588137500192,-17.604602867168605,11507717.5248266,5189.977052181587,9.083097840910115,-10.3682450133068,-85.76110767372083,6787488.767194292,3152.610693735325,16.49521073200084,79.59194232495935,21.086638751782385
60,config_32,116204,69,48,114545.69486789418,13.376491149878223,0.0074052460844948,-179.8114726544707,-178.27912891081024,29008888.930723146,11986.093848291655,339.98618430129574,179.74310978691682,-8.678005162058511,14534891.10154654,3886.105822668096,17.093346879327132,18.413196200015907,-83.23786225354415,6772331.216642409,3023.3287260251077,35.2604730824894,98.37586883028769,20.155723585582404
61,config_33,78434,25,31,1054720.0125049856,149.86126798476934,0.0296691153431221,-178.1166235808895,-177.3857902974817,29443543.694676235,11996.45184232111,207.2545619735225,175.41732197618663,-22.56954940032492,15414857.661792742,4552.798339369597,13.518517303963227,-45.410401322729214,-82.71793793826568,6967378.478430466,3222.362469914758,19.108825994706088,90.8556760010219,17.875009410851437
62,config_34,48564,20,24,421179.6693435685,1219.4388592862942,0.060397058596402,-66.32435693690559,-149.3019584561836,29297309.965912048,9508.509880191656,107.73123040419716,164.64006873895227,-35.17567908129985,16714833.540066466,4301.130865400019,13.876119207330737,70.70575049746468,-88.69815211373042,7534053.609562459,2285.9826469476116,24.52353736321822,51.50385312124354,13.643343042107436
63,config_35,111780,48,38,650339.5568335912,8.592513761556729,0.0310094173048158,-179.93455329117583,-171.90372608916786,29347970.4196997,11407.411882738434,364.9706855593712,179.90346484291172,0.5296919389677388,16041220.018420223,3012.31850064604,12.951459221336918,9.684870856673994,-89.10720168378593,6733321.807228404,2459.03280843387,39.947627567394726,68.69502447392485,14.110954321109924
64,config_36,119236,70,48,352003.7506241978,438.91951962363055,0.0073336672335593,-179.97815075041308,-177.8297884113609,29299683.627295382,11996.329289554902,212.07288434500143,179.995857955119,-21.51135851551339,11937766.289424378,4160.790998227512,8.778648436739342,12.552520726637264,-86.36253025265151,6847210.191666828,2501.1879582497095,22.513455082411188,109.90123088098052,16.099425694935316
65,config_37,93432,56,46,453764.90603688225,13.158437827233714,0.0447151730639725,-179.9996173977536,-170.2254428933026,28746778.523870777,11942.308380475895,352.29272951143605,179.99966831057154,-6.8644573357886625,13704429.420783447,3915.083614510387,22.238776279271804,-4.974187847446221,-85.00110888926524,6916929.210493781,2158.9653080705884,57.850148519870174,95.44978042827806,18.918512754118893
66,config_38,124105,44,38,702603.4496456564,5.968454881596699,0.0711267412231254,-179.99728119360185,-181.67414407956483,29299615.748784333,10023.057168336692,348.20543156221976,179.99915629783044,-13.686208227591848,13520337.073690226,4213.136359540274,20.05455884859235,18.707025966166253,-85.15009874252264,7045744.186406136,2559.5506144335363,33.08713090835353,100.8808002796652,16.21821226306075
67,config_39,84677,62,54,114319.493787734,8.505152826108,0.0260640000512156,-179.9979578663421,-163.11716118438036,29488679.461774103,11404.084512678308,350.11641361954287,179.99985703359286,3.304104638674333,13218662.076092089,5034.630855405168,27.551353467778764,2.4664514082460007,-85.92531971425194,6968659.008616088,3518.7818342280634,78.55765661761531,109.71219875804938,26.095347224641923
68,config_40,85151,45,40,351369.44150627096,5.606975878180061,0.0475761350617906,-175.1460040411119,-168.13897767854806,29199803.393952888,11991.779094078798,349.47714142788186,171.67386457328794,4.3097976515170755,11779083.725723926,4938.824777551716,18.01919967612439,-52.908586053942464,-85.46061291907297,5753169.102598942,3182.0651334223676,52.32617432807183,99.4466261696886,19.622704882727056
69,config_41,134309,19,20,350163.4878855753,15.471533269962,0.1847066083677892,-179.96756900326054,-169.12412524392542,28549766.572598208,10033.042396645216,347.32439112326824,179.91316506999232,1.0348121277870517,9382927.247808054,7678.088782978069,8.124944140189315,33.44608647109799,-87.41978103857495,7055568.932470128,2529.797615970884,34.42708526820928,89.5398140309836,12.298159103609477
70,config_42,109584,39,37,652774.6576271852,1269.494942097409,0.0399779339835041,-179.04287805846894,-159.03764965599126,29246927.7490776,10010.817755768554,106.82713527752158,172.17116166785448,-33.74834299343901,14555184.9465094,5042.531385556966,7.068049945955878,78.10123196211308,-90.53169949339878,6891076.576783583,3001.0606313547364,22.719524774821707,95.70855254799002,12.556519794977694
71,config_43,18596,7,11,1912021.6113385092,1320.9094801300912,0.007078176075165,-179.9440598097594,-173.8094811840502,29122043.520598125,16036.695088972634,112.50352714201956,179.98606638920583,-43.65144935363384,13636039.330209352,3374.218151515065,32.85052383400841,-60.77646516776639,-87.92532037349197,6923333.73652144,685.662246839894,41.67800280930458,46.14048216226277,13.311635207423384
72,config_44,1638,9,10,2369665.214390993,433.7717229962357,0.4755294102490305,-177.2598395254142,-148.214194281438,28734280.74800511,9508.871576645286,16.94029503657816,137.03018243464444,-22.613131825357133,14605893.10118153,3251.997630365646,4.446906282736191,29.165627083843624,-88.72486557628386,7052835.827012244,3351.4379848731655,4.099817573207047,97.17701184425704,25.26439848728895
73,config_45,1643,5,6,2350454.3610988786,1287.383511906521,0.0363698750291346,-136.30077300204275,-147.15860060092578,28749789.08044866,9383.29478835669,105.839681681836,146.2165243862981,-69.75765367279872,17092337.45794697,1996.9628649191984,4.84593232995813,104.81546653687764,-98.19866242123138,8750954.878512245,1594.8214889835135,19.740424027862836,79.40659613108579,10.188575784644716
74,config_46,53183,20,21,2500190.668294056,22.37497436010857,0.029720399057104,-108.3924442240034,-158.3531064062899,28741557.447449263,9512.916663194672,357.3613938106177,160.74155724382015,-17.76330820912432,12393133.919629917,3632.4915822146577,46.63826940798554,30.188211804696262,-77.52656642784945,6854915.651586758,1651.581853840995,66.81774999704612,82.55095795093375,16.458149883270796
75,config_47,76861,19,24,350009.62384444743,149.69165820942604,0.0383332830856954,-173.1845223305617,-151.29862138250627,28549848.889447883,10011.826405027745,107.70983402935626,131.9286977586471,-17.398221825933316,12613481.010916376,3235.1601574133465,27.09468907655364,21.01925047237371,-78.9656433442998,7032531.520031126,1395.0340154046537,33.839474560077406,90.83622545080372,14.352921951215544
